date,rain_possibility,highest temperature,lowest temperature,wind_speed,subway passengers
2020-05-28,5.000000,25.625000,14.500000,0.962500,109475
2020-05-29,0.000000,27.750000,16.000000,0.875000,109701
2020-05-30,0.000000,26.250000,16.500000,0.875000,66336
2020-05-31,23.750000,24.375000,15.750000,1.337500,45393
2020-06-01,12.500000,22.000000,15.500000,1.700000,109092
2020-06-02,56.250000,25.375000,17.250000,2.425000,107117
2020-06-03,26.250000,25.125000,17.750000,1.225000,111451
2020-06-04,11.250000,25.750000,17.000000,0.950000,111211
2020-06-05,2.500000,28.625000,17.250000,0.950000,115652
2020-06-06,7.500000,27.250000,17.500000,1.350000,63896
2020-06-07,10.000000,29.500000,18.750000,0.950000,48686
2020-06-08,0.000000,30.000000,19.250000,0.937500,112223
2020-06-09,5.000000,29.750000,20.000000,0.937500,111938
2020-06-10,25.000000,29.875000,19.750000,1.075000,112457
2020-06-11,10.000000,28.250000,19.000000,1.062500,112929
2020-06-12,30.000000,29.625000,19.250000,1.150000,116101
2020-06-13,37.500000,27.375000,19.500000,1.350000,73845
2020-06-14,0.000000,27.000000,18.000000,1.725000,48802
2020-06-15,0.000000,28.000000,18.750000,1.575000,114056
2020-06-16,2.500000,27.375000,18.500000,1.175000,116410
2020-06-17,20.000000,26.500000,19.500000,1.200000,117533
2020-06-18,28.750000,28.750000,19.250000,1.262500,116342
2020-06-19,7.500000,28.875000,20.000000,1.312500,119481
2020-06-20,0.000000,29.750000,20.250000,1.425000,75658
2020-06-21,0.000000,32.500000,21.000000,1.175000,51343
2020-06-22,0.000000,29.625000,21.250000,1.250000,115719
2020-06-23,46.250000,24.625000,21.750000,2.712500,118220
2020-06-24,68.750000,25.500000,20.750000,2.837500,114176
2020-06-25,41.250000,26.750000,20.000000,2.275000,117108
2020-06-26,31.250000,26.750000,20.000000,1.575000,122728
2020-06-27,2.500000,28.625000,20.000000,1.737500,80331
2020-06-28,5.000000,28.250000,19.500000,1.687500,53614
2020-06-29,62.500000,25.250000,18.500000,7.950000,117563
2020-06-30,55.000000,25.250000,18.500000,2.537500,115682
2020-07-01,5.000000,28.375000,20.000000,1.287500,120376
2020-07-02,21.250000,28.250000,20.000000,1.125000,120965
2020-07-03,27.500000,27.250000,20.000000,1.250000,124452
2020-07-04,10.000000,26.500000,19.500000,1.237500,79906
2020-07-05,23.750000,28.125000,20.250000,1.150000,53280
2020-07-06,38.750000,27.500000,21.000000,1.400000,120737
2020-07-07,5.000000,28.875000,20.750000,1.275000,121503
2020-07-08,12.500000,31.625000,21.250000,1.687500,123068
2020-07-09,22.500000,28.250000,22.500000,3.387500,121806
2020-07-10,26.250000,29.625000,21.250000,2.012500,123538
2020-07-11,18.750000,27.500000,21.000000,1.412500,80882
2020-07-12,55.000000,23.375000,19.000000,2.362500,40852
2020-07-13,58.750000,23.750000,18.250000,2.937500,113228
2020-07-14,28.750000,27.250000,18.750000,1.600000,121889
2020-07-15,0.000000,28.500000,20.250000,1.075000,126307
2020-07-16,10.000000,29.125000,21.000000,1.175000,124406
2020-07-17,10.000000,29.250000,21.750000,1.237500,126614
2020-07-18,33.750000,26.375000,21.500000,1.537500,82635
2020-07-19,78.750000,26.875000,21.750000,3.362500,48106
2020-07-20,23.750000,29.875000,21.250000,2.475000,117727
2020-07-21,25.000000,28.250000,21.750000,1.112500,123200
2020-07-22,46.250000,25.125000,20.750000,1.925000,119782
2020-07-23,76.250000,26.500000,20.250000,8.637500,117115
2020-07-24,46.250000,27.375000,20.750000,6.687500,123544
2020-07-25,22.500000,28.875000,21.500000,2.512500,79323
2020-07-26,30.000000,26.500000,22.000000,1.000000,55125
2020-07-27,42.500000,28.875000,22.250000,1.187500,117025
2020-07-28,53.750000,28.125000,23.000000,1.237500,120551
2020-07-29,68.750000,28.125000,23.000000,1.287500,116656
2020-07-30,30.000000,29.000000,22.750000,1.500000,117826
2020-07-31,52.500000,27.375000,23.000000,1.437500,120272
2020-08-01,76.250000,27.000000,23.000000,2.150000,67116
2020-08-02,73.750000,26.125000,23.250000,3.062500,44499
2020-08-03,80.000000,28.625000,24.000000,2.825000,101873
2020-08-04,79.250000,28.125000,23.750000,2.037500,107732
2020-08-05,75.000000,28.000000,23.000000,8.312500,110967
2020-08-06,42.500000,26.750000,22.750000,2.837500,113989
2020-08-07,36.250000,27.500000,22.500000,1.275000,121857
2020-08-08,80.000000,26.125000,24.000000,4.025000,78501
2020-08-09,77.500000,28.625000,24.000000,9.062500,43553
2020-08-10,80.000000,28.750000,23.750000,3.650000,116748
2020-08-11,40.000000,29.750000,25.000000,1.412500,118561
2020-08-12,27.500000,30.125000,25.000000,1.625000,124212
2020-08-13,30.000000,27.500000,24.750000,2.787500,121192
2020-08-14,79.000000,27.875000,24.000000,4.037500,121873
2020-08-15,31.250000,30.375000,24.000000,2.350000,63566
2020-08-16,26.250000,31.875000,24.250000,1.875000,52723
2020-08-17,6.250000,32.875000,25.000000,1.262500,72779
2020-08-18,0.000000,33.000000,24.750000,1.212500,114114
2020-08-19,0.000000,33.000000,23.750000,1.375000,112121
2020-08-20,21.250000,29.000000,23.000000,1.437500,109202
2020-08-21,43.750000,29.000000,23.250000,1.762500,109160
2020-08-22,45.000000,29.750000,22.000000,1.112500,59637
2020-08-23,5.000000,30.750000,22.500000,1.250000,38445
2020-08-24,2.500000,31.875000,24.250000,2.762500,104233
2020-08-25,11.250000,33.625000,25.250000,3.237500,106034
2020-08-26,65.000000,30.500000,24.500000,13.175000,103503
2020-08-27,46.250000,29.125000,24.000000,2.187500,94353
2020-08-28,23.750000,28.875000,24.000000,1.125000,102377
2020-08-29,52.500000,29.875000,24.000000,1.175000,53078
2020-08-30,27.500000,30.000000,23.250000,1.150000,34145
2020-08-31,30.000000,30.000000,23.000000,1.475000,96687
2020-09-01,45.000000,27.375000,22.500000,1.425000,95362
2020-09-02,80.000000,27.000000,20.250000,10.837500,92684
2020-09-03,37.500000,27.625000,19.750000,5.125000,91126
2020-09-04,0.000000,29.250000,19.250000,0.887500,99031
2020-09-05,20.000000,26.500000,19.750000,1.037500,55275
2020-09-06,67.500000,23.250000,18.750000,9.187500,35689
2020-09-07,65.000000,24.625000,19.750000,8.225000,90645
2020-09-08,25.000000,25.250000,19.250000,1.175000,100796
2020-09-09,52.500000,26.500000,19.500000,0.975000,99787
2020-09-10,18.750000,26.750000,19.500000,0.762500,100169
2020-09-11,52.500000,24.375000,17.750000,1.300000,103127
2020-09-12,27.500000,24.250000,17.250000,1.312500,57810
2020-09-13,2.500000,25.125000,17.750000,0.837500,40092
2020-09-14,20.000000,25.375000,19.250000,0.875000,107731
2020-09-15,36.250000,25.125000,19.250000,0.912500,110154
2020-09-16,42.500000,24.125000,18.500000,0.875000,109384
2020-09-17,16.250000,24.250000,17.500000,1.050000,110843
2020-09-18,10.000000,25.000000,16.500000,1.125000,114438
2020-09-19,0.000000,24.000000,14.250000,1.300000,69795
2020-09-20,0.000000,23.875000,13.750000,0.962500,47610
2020-09-21,0.000000,24.000000,15.000000,0.775000,113954
2020-09-22,10.000000,23.125000,15.000000,0.975000,115322
2020-09-23,20.000000,24.125000,15.250000,3.625000,117002
2020-09-24,25.000000,25.250000,15.250000,4.550000,116145
2020-09-25,2.500000,25.000000,14.750000,1.450000,120646
2020-09-26,5.000000,25.000000,14.250000,1.112500,75003
2020-09-27,0.000000,24.375000,15.000000,0.725000,49608
2020-09-28,0.000000,24.125000,15.250000,0.700000,116742
2020-09-29,17.500000,23.500000,15.500000,0.787500,114571
2020-09-30,25.000000,23.125000,16.000000,0.900000,42459
2020-10-01,23.750000,22.875000,15.750000,1.425000,28912
2020-10-02,35.000000,22.125000,15.500000,1.137500,43476
2020-10-03,11.250000,22.000000,14.250000,0.862500,52262
2020-10-04,5.000000,19.125000,9.000000,4.887500,46623
2020-10-05,0.000000,19.125000,8.500000,1.862500,115478
2020-10-06,13.750000,21.125000,10.250000,1.300000,118100
2020-10-07,5.000000,23.625000,11.000000,1.025000,118336
2020-10-08,3.750000,24.000000,11.250000,2.187500,121150
2020-10-09,5.000000,22.875000,11.500000,1.800000,70064
2020-10-10,11.250000,22.000000,11.750000,1.062500,73257
2020-10-11,12.500000,21.250000,11.750000,0.775000,50546
2020-10-12,5.000000,20.125000,8.500000,1.525000,119017
2020-10-13,16.250000,16.625000,9.500000,1.362500,120927
2020-10-14,10.000000,17.625000,6.750000,1.412500,122730
2020-10-15,10.000000,17.250000,9.250000,0.800000,121779
2020-10-16,21.250000,18.500000,9.750000,0.787500,125485
2020-10-17,0.000000,18.875000,8.250000,0.812500,83543
2020-10-18,0.000000,20.125000,9.500000,0.725000,56249
2020-10-19,0.000000,21.000000,10.500000,0.687500,120514
2020-10-20,10.000000,19.000000,12.000000,0.850000,123690
2020-10-21,23.750000,18.000000,10.250000,1.175000,123560
2020-10-22,0.000000,14.500000,4.500000,2.850000,122924
2020-10-23,0.000000,14.000000,3.750000,3.387500,128175
2020-10-24,0.000000,17.500000,6.000000,1.787500,85441
2020-10-25,10.000000,18.875000,8.250000,1.000000,58230
2020-10-26,5.000000,19.000000,9.000000,0.687500,121595
2020-10-27,13.750000,17.500000,8.500000,1.112500,123476
2020-10-28,2.500000,15.625000,5.250000,1.875000,125042
2020-10-29,12.500000,17.750000,6.750000,1.012500,123847
2020-10-30,5.000000,17.125000,10.000000,1.050000,128369
2020-10-31,37.500000,15.500000,11.000000,1.600000,86733
